VIN (1-10),City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Electric Utility,Longitude,Latitude
5YJRE1A14A,Seattle,WA,98112.0,2010,TESLA,ROADSTER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,245,110950,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.30764,47.62523
5YJSA1H13E,Maple Valley,WA,98038.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.05191,47.357985
KNDJX3AE0H,West Richland,WA,99353.0,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,32250,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,-119.3535873,46.2778489
JF2GTDNC6K,Round Rock,TX,78681.0,2019,SUBARU,CROSSTREK,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,34995,NON WASHINGTON STATE ELECTRIC UTILITY,-97.6944,30.516005
WBA8E1C51H,Auburn,WA,98001.0,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,44100,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.2849393,47.3384055
WBAJA9C53J,Mukilteo,WA,98275.0,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,52650,PUGET SOUND ENERGY INC,-122.299965,47.94171
KNDJX3AE7G,Lakewood,WA,98498.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.547645,47.176685
5YJSA1CP7C,Spokane,WA,99205.0,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,265,59900,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,-117.42694,47.67946
5YJSA1CN0D,Arlington,WA,98223.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,-122.12324,48.19485
5YJSA1CPXD,Lakewood,WA,98499.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,-122.5181098,47.1712579
KNDJX3AE2G,Spokane Valley,WA,99206.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,BONNEVILLE POWER ADMINISTRATION||VERA IRRIGATION DISTRICT #15,-117.24549,47.6534
LYVBR0DM1K,Bellevue,WA,98006.0,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.16937,47.571015
WBA8E1C38H,Kennewick,WA,99336.0,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,44100,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,-119.113535,46.204945
KNDJX3AE6G,Vashon,WA,98070.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.46049,47.44873
KNDJX3AEXJ,Spanaway,WA,98387.0,2018,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,111,33950,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,-122.435115,47.1045
YV4BR0DL7J,Gig Harbor,WA,98335.0,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,-122.5835454,47.3234488
WMZYU7C47J,Bellingham,WA,98226.0,2018,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,12,36800,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,-122.45493,48.76809
WBA8E1C36H,Eastsound,WA,98245.0,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,44100,BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,-122.907229,48.7016716
5YJSA1S14E,Lakebay,WA,98349.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,-122.7658848,47.2739449
WBA8E1C56J,Mercer Island,WA,98040.0,2018,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,45600,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.2377542,47.582905
WMZYU7C44J,Monroe,WA,98272.0,2018,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,12,36800,PUGET SOUND ENERGY INC,-121.972215,47.85674
5YJSA1CG3D,Indio,CA,92201.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,NON WASHINGTON STATE ELECTRIC UTILITY,-116.21818,33.71927
5YJSA1H17E,Custer,WA,98240.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,-122.6410958,48.919121
WBA8E1C50J,Enumclaw,WA,98022.0,2018,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,45600,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-121.98953,47.20347
KNDJP3AE5G,Lacey,WA,98503.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,PUGET SOUND ENERGY INC,-122.8285,47.03646
5YJSA1H19E,Blaine,WA,98230.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,CITY OF BLAINE - (WA)||PUD NO 1 OF WHATCOM COUNTY,-122.74499,48.99505
YV4BR0PL3J,Leavenworth,WA,98826.0,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,64950,PUD NO 1 OF CHELAN COUNTY,-120.6619153,47.5970083
5YJSA1H12E,Spokane,WA,99212.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,BONNEVILLE POWER ADMINISTRATION||VERA IRRIGATION DISTRICT #15,-117.288055,47.68043
5YJSA1DP0D,Olympia,WA,98501.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,PUGET SOUND ENERGY INC,-122.89692,47.043535
5YJSA1S11E,Gig Harbor,WA,98332.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,-122.589645,47.342345
KNDJP3AE9G,Waitsburg,WA,99361.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,PACIFICORP,-118.15324,46.267955
WBA7J2C52J,Portland,OR,97214.0,2018,BMW,740E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,90700,NON WASHINGTON STATE ELECTRIC UTILITY,-122.65567,45.516115
